128166372003111006,proj,0,Read,8880391168,16384,49008
128166372024331468,proj,0,Write,3239911424,4096,78546
128166372025758591,proj,0,Write,2196791296,4096,57673
128166372045733763,proj,0,Write,9065705472,8192,82553
128166372053077401,proj,0,Write,1912807424,512,82676
128166372053238911,proj,0,Write,3154137088,4096,77416
128166372053245047,proj,0,Write,3238117376,4096,71280
128166372053268500,proj,0,Write,3233452032,4096,47828
128166372053383050,proj,0,Write,682053632,4096,89528
128166372053403606,proj,0,Write,1912807936,1536,68972
128166372053581177,proj,0,Write,3220815872,4096,47651
128166372053588658,proj,0,Write,1912813568,8192,40169
128166372053588836,proj,0,Write,1912821760,4096,39991
128166372053589347,proj,0,Write,1912809472,4096,39480
128166372053735382,proj,0,Write,3154132992,4096,49696
128166372053735749,proj,0,Write,3238117376,4096,49329
128166372053737160,proj,0,Write,3233452032,4096,47918
128166372053852088,proj,0,Write,682053632,4096,89239
128166372053872288,proj,0,Write,1912807424,512,69040
128166372054037734,proj,0,Write,3154137088,4096,59844